ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
0105,pulchritude_3.0,2000_1_1,216573,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,221211,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,225854,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,230492,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,235131,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,239770,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,244411,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,249317,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,253954,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,258593,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,263235,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,267873,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,272510,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,277151,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,281791,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,286428,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,291066,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,295708,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,300346,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,304985,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,309890,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,314531,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,319169,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,323808,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,328450,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,333087,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,337726,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,342364,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,347006,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,351643,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,356283,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,360925,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,365562,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,370467,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,375105,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,379748,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,384385,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,389024,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,393661,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,398304,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,402941,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,407580,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,412222,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,416860,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,421498,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,426136,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,431045,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,435683,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,440321,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,444959,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,449601,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,454240,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,458876,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,463519,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,468158,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,472796,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,477434,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,482075,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,486715,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
