date,location,person,AM/PM,bag,time,depth_ft,basket,notes
20260124,Auasi,SM,AM,42,9:24,2,30,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,SM,AM,41,9:28,1.5,26,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,59,9:05,2,39,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,22,9:09,2,48,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,56,9:14,3,32,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,18,9:17,3,25,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,58,9:20,3,27,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,RC,AM,38,9:27,3,37,Died overnight in holding tank due to 46C temp spike
20260124,Airport,RC,PM,73,3:45,7,22,Died overnight in holding tank due to 46C temp spike
20260124,Airport,TC,PM,82,4:05,10,44,Died overnight in holding tank due to 46C temp spike
20260124,Utulei ,TC,AM,29,12:01,4,18,Died overnight in holding tank due to 46C temp spike
